att1,att16,att30,att35,att71,att84,att90,att94,att138,att147,att152,att162,att165,att184,att241,att265,att285,att304,att327,att329,att394,att411,att459,att464,att475,att577,att585,att631,att641,att699,att709,att719,att723,att724,att730
1,11.846,10.7431,10.4847,8.74334,8.72821,11.399,9.50769,12.2736,10.5205,9.10047,10.4728,6.60059,7.15251,7.18351,7.87972,7.49792,6.23464,10.0031,6.55116,9.27172,9.4752,8.43787,6.7974,10.1932,7.62451,9.97525,5.62943,9.77344,6.39032,6.13504,8.86339,11.4656,4.94479,4.44662
1,11.9792,9.51181,9.84141,9.4524,8.27016,10.9308,8.86738,11.7898,10.6352,9.01637,10.7331,6.76128,6.59513,7.04771,7.78714,7.91037,6.20123,9.28008,7.35919,8.2477,9.74757,9.17514,7.49507,9.59608,7.54482,10.0529,5.51893,8.65506,6.0131,6.12114,9.20336,11.314,5.40114,4.33804
1,11.6438,11.0542,10.8516,9.28392,8.77451,11.1476,10.5929,11.7986,10.2304,8.74152,10.7078,6.52012,6.59971,7.13558,7.66081,6.92212,6.2435,9.67407,7.16919,8.57033,9.73501,9.38606,6.87258,9.96592,7.48323,10.7115,5.61862,9.87953,5.16269,6.35554,8.43707,10.5995,5.06431,4.19753
1,11.7486,10.9585,11.1682,9.55898,8.90741,11.206,10.0417,12.0522,10.763,8.30314,10.8936,6.51355,6.47984,7.1819,7.55789,6.99034,6.08798,9.52422,7.56468,8.38972,10.2755,9.60457,6.81771,10.434,7.37258,11.3563,5.44323,10.2324,5.91905,6.46469,8.50554,11.2441,5.29255,4.53209
1,11.844,11.0691,11.0433,9.09506,8.66142,11.1156,9.58812,12.0262,10.2979,7.99581,11.0485,6.36906,7.07981,7.02512,7.75835,7.2911,6.38815,9.71778,6.81245,8.58103,10.1431,9.3526,6.7428,9.85281,7.25274,11.1237,5.43751,9.87295,5.71061,6.40575,8.5033,10.0393,5.09055,4.26912
1,11.6238,11.0982,11.1127,9.09379,8.77484,11.2293,9.75814,12.1935,10.4406,9.10294,10.9832,6.83484,7.02433,7.33048,7.94417,7.54849,6.18398,9.54162,6.58321,8.86229,9.89688,9.55904,7.26009,10.2326,7.28709,11.641,5.54846,9.8295,5.49611,6.22728,8.26048,10.2846,5.38251,4.23323
1,12.0089,11.2752,11.0301,9.35943,9.07132,11.275,9.20929,12.5643,10.8396,8.82997,10.4718,6.68447,6.97406,7.10331,7.82396,7.58907,6.24851,9.68414,7.0858,9.43295,9.90779,9.6136,6.16523,9.8799,7.44209,11.1745,5.53973,9.65629,5.8184,6.61781,9.16361,10.8287,5.31298,4.25569
1,11.6284,10.9106,10.9767,9.66257,8.54751,11.2609,9.42996,11.3507,10.1185,8.13444,10.8901,6.98471,6.64172,7.0208,8.33447,7.0986,6.84211,9.31478,7.43907,8.90407,8.97345,8.20014,7.62303,8.68736,7.37745,10.3583,5.49276,8.84962,5.4994,6.46455,8.23698,9.9841,5.48829,4.33256
1,11.6176,11.2489,11.2881,9.37197,8.69762,11.0468,9.55527,12.1476,10.2513,8.40829,10.7943,7.19317,6.69696,6.84152,8.10982,7.17461,6.38526,8.8907,6.84066,9.36207,9.29718,8.44004,6.9691,8.84731,7.34174,10.6128,5.70844,8.63753,5.05461,6.77439,8.12997,10.1801,5.26881,4.2852
1,11.8188,10.5819,10.5287,9.52689,8.18539,10.5179,9.10487,11.9096,10.2325,8.44861,9.86023,6.31163,6.32127,7.07389,8.01341,7.1131,6.59495,9.08867,7.38535,8.72682,9.42855,8.93743,7.03832,9.72914,7.59569,10.4563,5.84167,9.96435,5.47966,6.79423,8.28314,10.4889,5.45805,4.35857
